productId,partNumber,brand,name,description,descriptionQuality,specifications,imageUrl,catalogUrl
PHEN-8B-S014-MFF,8B-S014-MFF,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 10 g / 60 mL, Giga Tubes, 16/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 60.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-MFF
PHEN-8E-S014-DGB,8E-S014-DGB,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 50 mg / well, 96-Well Plates, 2/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 2.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8E-S014-DGB
PHEN-8L-S014-FCH,8L-S014-FCH,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 6 mL, Tab-less Tubes, 30/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) 500 , 500 m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""Pore Size 260.0000"", ""Pore Size 260.0000"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 6.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8L-S014-FCH
PHEN-03A-4802-E0,03A-4802-E0,Phenomenex,"Biozen 3.0 µm dSEC-1, Guard Column, 30x4.6","Analysis of peptides, protein fragments, and small biologics with reduced analysis times and improved column lifetimes.",medium,"{""CoreTechnique HPLC"": ""CoreSeparationMode Size Exclusion"", ""CoreSeparationMode Size Exclusion"": ""CoreBrand bioZen"", ""CoreBrand bioZen"": ""CorePhase dSEC-1"", ""CorePhase dSEC-1"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=03A-4802-E0
PHEN-03Q-4788-K0,03Q-4788-K0,Phenomenex,"bioZen dSEC-2 guard column, (40*7.8) 3um","Analysis of monoclonal antibodies, biosimilars and other biomolecules by using specific molecular weights with improved column lifetimes and recovery",medium,"{""CoreTechnique HPLC"": ""CoreSeparationMode Size Exclusion"", ""CoreSeparationMode Size Exclusion"": ""CoreBrand bioZen"", ""CoreBrand bioZen"": ""CorePhase dSEC-2"", ""CorePhase dSEC-2"": ""Particle Size 3.0000"", ""Particle Size 3.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=03Q-4788-K0
PHEN-420-546010W,420-546010W,Phenomenex,"Guard Column Fusion C8, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=420-546010W
PHEN-401-546010W,401-546010W,Phenomenex,"Guard Column Fusion C18, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=401-546010W
PHEN-470-546010W,470-546010W,Phenomenex,"Guard Column Fusion C30, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=470-546010W
PHEN-302-546010W,302-546010W,Phenomenex,"Guard Column FlexFire C30, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=302-546010W
PHEN-320-546010W,320-546010W,Phenomenex,"Guard Column FlexFire mAb-RP, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=320-546010W
PHEN-301-546010W,301-546010W,Phenomenex,"Guard Column FlexFire mAb-RP, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=301-546010W
PHEN-431-546010W,431-546010W,Phenomenex,"Guard Column Fusion BIO C4, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=431-546010W
PHEN-DN3503-B,DN3503-B,Phenomenex,"DNPH-Silica, 350mg/3mL, with Guard Column, 50/Pk",,none,{},,https://www.phenomenex.com/part?partNo=DN3503-B
PHEN-SI-90G,SI-90G,Phenomenex,"Guard Column, 5µm, 4.6x10",,none,{},,https://www.phenomenex.com/part?partNo=SI-90G
PHEN-AS060-B,AS060-B,Phenomenex,"SPE Cartridge Frit, 60mL, 1/8in 20µm, 50/Pk",Mixed Mode.RecommendedUse,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP , ACC"", ""CoreTechnique SP , ACC"": ""CoreSeparationMode Multi-Mode"", ""CoreSeparationMode Multi-Mode"": ""CoreBrand Agela"", ""CoreBrand Agela"": ""CorePhase Mixed Mode"", ""CorePhase Mixed Mode"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=AS060-B
PHEN-AS006-B,AS006-B,Phenomenex,"SPE Cartridge Frit, 6mL, 1/8in, 20µm, 100/Pk",Mixed Mode.RecommendedUse,extracted,"{""Surface Area (sq.Meter/g) 500 m²/g"": ""CoreTechnique SP , ACC"", ""CoreTechnique SP , ACC"": ""CoreSeparationMode Multi-Mode"", ""CoreSeparationMode Multi-Mode"": ""Pore Size 70.0000"", ""Pore Size 70.0000"": ""CoreBrand Agela"", ""CoreBrand Agela"": ""CorePhase Mixed Mode"", ""CorePhase Mixed Mode"": ""Particle Type Silica-Based""}",,https://www.phenomenex.com/part?partNo=AS006-B
PHEN-AS001-A-2,AS001-A-2,Phenomenex,"SPE Cartridge Frit, 1mL, 1/16in, 20µm",Mixed Mode.RecommendedUse,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP , ACC"", ""CoreTechnique SP , ACC"": ""CoreSeparationMode Multi-Mode"", ""CoreSeparationMode Multi-Mode"": ""CoreBrand Agela"", ""CoreBrand Agela"": ""CorePhase Mixed Mode"", ""CorePhase Mixed Mode"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=AS001-A-2
PHEN-AS003-A-2,AS003-A-2,Phenomenex,"SPE Cartridge Frit, 3mL, 1/16in, 20µm, 100/Pk",Mixed Mode.RecommendedUse,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP , ACC"", ""CoreTechnique SP , ACC"": ""CoreSeparationMode Multi-Mode"", ""CoreSeparationMode Multi-Mode"": ""CoreBrand Agela"", ""CoreBrand Agela"": ""CorePhase Mixed Mode"", ""CorePhase Mixed Mode"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=AS003-A-2
