"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"AGIL-695968-901K","695968-901K","InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695968-901T","695968-901T","InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-901","693968-901","InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-901K","693968-901K","InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-901T","693968-901T","InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-901","699968-901","InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-901K","699968-901K","InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-901T","699968-901T","InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-821725-953","821725-953","InfinityLab Poroshell 120 CS-C18, 2.1 mm, 2.7 µm, UHPLC guard, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","5 mm","2.1 mm","CS-C18","1.5-10.0","active"
"AGIL-695775-942","695775-942","InfinityLab Poroshell 120 CS-C18, 2.1 x 100 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","2.1 mm","CS-C18","1.5-10.0","active"
