productId,partNumber,brand,name
"PHEN-AS003-A-2","AS003-A-2","Phenomenex","SPE Cartridge Frit, 3mL, 1/16in, 20µm, 100/Pk"
"PHEN-AS012-B","AS012-B","Phenomenex","SPE Cartridge Frit, 12mL, 1/8 inch, 20µm, 100/Pk"
"PHEN-AS001-A-2HM","AS001-A-2HM","Phenomenex","SPE cartridge Frit, 1ml, 1/16’, 20um, 100/Pk, 100/Pk"
"PHEN-AS012-A-2","AS012-A-2","Phenomenex","SPE Cartridge Frit, PE Frit for 12mL SPE Tube 1/16in 20µm, 100/Pk"
"PHEN-4466058","4466058","Phenomenex","Amplifex PREP Cartridge Adapters for SI5006-S, SPE Columns, 50mg/2mL/well, 24/Pk"
"PHEN-FC003","FC003","Phenomenex","Filtration Column 3mL, 3mL, 1/16in Plate, 100/Pk"
"PHEN-AF0-2107-12","AF0-2107-12","Phenomenex","Phenex-NY 15mm Syringe Filters 0.45u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-8104-12","AF0-8104-12","Phenomenex","Phenex-CA 28mm Syringe Filters 0.45u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-1107-12","AF0-1107-12","Phenomenex","Phenex-NY 25mm Syringe Filters 0.45u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-3202-12","AF0-3202-12","Phenomenex","Phenex-PTFE 4mm Syringe Filters 0.2u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-8203-12","AF0-8203-12","Phenomenex","Phenex-RC 26mm Syringe Filters 0.2u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-2103-12","AF0-2103-12","Phenomenex","Phenex-RC 15mm Syringe Filters 0.45u, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-1207-12","AF0-1207-12","Phenomenex","Phenex-NY 25mm Syringe Filters 0.2u,, Non-Sterile, Luer/Slip - (AF0-1207-12)"
"PHEN-AF0-1102-12","AF0-1102-12","Phenomenex","Phenex-PTFE 25mm Syringe Filters 0.45u,, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-3103-12","AF0-3103-12","Phenomenex","Phenex-RC 4mm Syringe Filters, 0.45 µm, Non-Sterile, Luer/Slip, 100/Pk"
"PHEN-AF0-2203-52","AF0-2203-52","Phenomenex","Phenex-RC Syringe Filters, 15 mm dia., 0.2 µm, Non-Sterile, Luer/Slip, 500/Pk"
"PHEN-AF0-2202-52","AF0-2202-52","Phenomenex","Phenex-PTFE Syringe Filters, 15 mm dia., 0.2 µm, Non-Sterile, Luer/Slip, 500/Pk"
"PHEN-AF0-8208-12","AF0-8208-12","Phenomenex","Phenex-PES 28mm Syringe Filters 0.2u,, Non-Sterile, Luer/Luer, 100/Pk"
"PHEN-AF0-2102-52","AF0-2102-52","Phenomenex","Phenex-PTFE Syringe Filters, 15 mm dia., 0.45 µm, Non-Sterile, Luer/Slip, 500/Pk"
"PHEN-AF0-3102-52","AF0-3102-52","Phenomenex","Phenex-PTFE Syringe Filters, 4 mm dia., 0.45 µm, Non-Sterile, Luer/Slip - (AF0-3102-52)"
"PHEN-AF0-8B09-52","AF0-8B09-52","Phenomenex","Phenex-GF/CA Syringe Filters, 28 mm dia., 0.45 µm, Non-Sterile, Luer/Luer, 500/Pk"
"PHEN-AF0-1A47-52","AF0-1A47-52","Phenomenex","Phenex-GF/NY Syringe Filters, 25 mm dia., 0.2 µm, Non-Sterile, Luer/Slip, 500/Pk"
"PHEN-AF0-2203-12","AF0-2203-12","Phenomenex","Phenex-RC Syringe Filters, 15mm dia., 0.2?m Non-Sterile, Luer/Slip, 100/Pk"
