productId,partNumber,brand,name,catalogUrl
246143,"ACE-121-0403GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 3 µm, 4.0x10 mm",""
246144,"ACE-121-0463GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 3 µm, 4.6x10 mm",""
246145,"ACE-122-0103GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 3 µm, 1.0x10 mm",""
246146,"ACE-122-0203GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 3 µm, 2.1x10 mm",""
246147,"ACE-122-0303GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 3 µm, 3.0x10 mm",""
246148,"ACE-122-0403GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 3 µm, 4.0x10 mm",""
246149,"ACE-122-0463GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 3 µm, 4.6x10 mm",""
246150,"ACE-111-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 1.0x10 mm",""
246151,"ACE-111-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 2.1x10 mm",""
246152,"ACE-111-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 3.0x10 mm",""
246153,"ACE-111-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 4.0x10 mm",""
246154,"ACE-111-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 4.6x10 mm",""
246155,"ACE-119-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 1.0x10 mm",""
246156,"ACE-119-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 2.1x10 mm",""
246157,"ACE-119-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 3.0x10 mm",""
246158,"ACE-119-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 4.0x10 mm",""
246159,"ACE-119-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 4.6x10 mm",""
246160,"ACE-120-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 1.0x10 mm",""
246161,"ACE-120-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 2.1x10 mm",""
246162,"ACE-120-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 3.0x10 mm",""
246163,"ACE-120-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 4.0x10 mm",""
246164,"ACE-120-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 4.6x10 mm",""
246165,"ACE-121-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 1.0x10 mm",""
246166,"ACE-121-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 2.1x10 mm",""
246167,"ACE-121-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 3.0x10 mm",""
246168,"ACE-121-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 4.0x10 mm",""
246169,"ACE-121-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 4.6x10 mm",""
246170,"ACE-122-0105GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 5 µm, 1.0x10 mm",""
246171,"ACE-122-0205GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 5 µm, 2.1x10 mm",""
246172,"ACE-122-0305GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 5 µm, 3.0x10 mm",""
246173,"ACE-122-0405GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 5 µm, 4.0x10 mm",""
246174,"ACE-122-0465GD","ACE","Avantor® ACE® Guard Cartridge, CN-ES 5 µm, 4.6x10 mm",""
270007,"76382-550","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
270015,"1.HI09-53-100-15","ACE","GC COLUMN HI-WAX 0.53MM 1.00UM 15M",""
