productId,partNumber,brand,name,description,descriptionQuality,specifications,matchType
WATS-186000260,186000260,Waters,"Oasis MCX 1cc Vac Cartridge, 60 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000261,186000261,Waters,"Oasis MCX 1cc Vac Cartridge, 150 mg Sorbent, 30 µm Particle Size, 100/pk

Source URL: https://www.waters.com/nextgen/us/en/search.html?category=Shop&content_type=samplepreparationfiltration&multiselect=true&page=1&rows=25&sort=most-recent",,none,{},not_found
WATS-186010126,186010126,Waters,Sep-Pak SEC Desalting Cartridge 1 cc Start-Up Kit,,none,{},not_found
WATS-186000132,186000132,Waters,"Oasis HLB Plus Short Cartridge, 225 mg Sorbent per Cartridge, 60 µm, 50/pk",,none,{},not_found
WATS-186000131,186000131,Waters,"Oasis HLB 6 cc Vac Cartridge, 1 g Sorbent per Cartridge, 30 µm, 30/pk",,none,{},not_found
WATS-186000130,186000130,Waters,"Oasis HLB Plus Light Cartridge, 50/pk",,none,{},not_found
WATS-186000129,186000129,Waters,"Oasis HLB Plus Light Double Luer-Lock Cartridge, 50/pk",,none,{},not_found
WATS-186000128,186000128,Waters,"Oasis HLB Plus Long Double Luer-Lock Cartridge, 50/pk",,none,{},not_found
WATS-186000127,186000127,Waters,"Oasis HLB Plus Short Cartridge, 100/pk",,none,{},not_found
WATS-186000126,186000126,Waters,"Oasis HLB Plus Long Cartridge, 100/pk",,none,{},not_found
WATS-186000125,186000125,Waters,"Oasis HLB Plus Light Cartridge, 100/pk",,none,{},not_found
WATS-186000124,186000124,Waters,"Oasis HLB Plus Light Double Luer-Lock Cartridge, 100/pk",,none,{},not_found
WATS-186000123,186000123,Waters,"Oasis HLB Plus Long Double Luer-Lock Cartridge, 100/pk",,none,{},not_found
WATS-186000122,186000122,Waters,"Oasis HLB Plus Short Double Luer-Lock Cartridge, 100/pk",,none,{},not_found
WATS-186000121,186000121,Waters,"Oasis HLB Plus Short Cartridge, 500/pk",,none,{},not_found
WATS-186000120,186000120,Waters,"Oasis HLB Plus Long Cartridge, 500/pk",,none,{},not_found
WATS-186000119,186000119,Waters,"Oasis HLB Plus Light Cartridge, 500/pk",,none,{},not_found
WATS-186000118,186000118,Waters,Oasis HLB Extrctn Cart. 35cc 6g 10/box,,none,{},not_found
WATS-186000117,186000117,Waters,"Oasis HLB Plus Long Double Luer-Lock Cartridge, 500/pk",,none,{},not_found
WATS-186000116,186000116,Waters,"Oasis HLB Plus Short Double Luer-Lock Cartridge, 500/pk",,none,{},not_found
WATS-186000115,186000115,Waters,"Oasis HLB Plus Short Cartridge, 1000/pk",,none,{},not_found
WATS-186000114,186000114,Waters,"Oasis HLB Plus Long Cartridge, 1000/pk",,none,{},not_found
WATS-186000113,186000113,Waters,"Oasis HLB Plus Light Cartridge, 1000/pk",,none,{},not_found
WATS-186000112,186000112,Waters,"Oasis HLB Plus Light Double Luer-Lock Cartridge, 1000/pk",,none,{},not_found
WATS-186000111,186000111,Waters,"Oasis HLB Plus Long Double Luer-Lock Cartridge, 1000/pk

Source URL: https://www.waters.com/nextgen/us/en/search.html?category=Shop&content_type=samplepreparationfiltration&enableHL=true&isocode=en_US&keyword=%2A%3A%2A&multiselect=true&page=2&rows=12&sort=most-recent",,none,{},not_found
WATS-PSL901282,PSL901282,Waters,Biocompatible Mobile-Phase Filter,,none,{},not_found
WATS-186009330,186009330,Waters,"wwPTFE Acrodisc Solvent Filter, 0.2 μm 47 mm 50/Pk",,none,{},not_found
WATS-186009328,186009328,Waters,GXF/wwPTFE Acrodisc PSF 0.45µm 25mm 1000/Pk,,none,{},not_found
WATS-186009314,186009314,Waters,Waters Filtration 186009314,,none,{},not_found
WATS-186009331,186009331,Waters,Waters Filtration 186009331,,none,{},not_found
WATS-186009326,186009326,Waters,"wwPTFE Acrodisc Syringe Filter, 0.45 μm 25 mm 50/Pk",,none,{},not_found
WATS-186009315,186009315,Waters,"wwPTFE Acrodisc Mini Syringe Filter, 0.45 μm 13 mm 100/Pk",,none,{},not_found
WATS-WAT200825,WAT200825,Waters,"PTFE CR Acrodisc MiniSpike Syringe Filter, 13 mm, 0.45 µm, 1000/case",,none,{},not_found
WATS-WAT200504,WAT200504,Waters,"PTFE CR Acrodisc Syringe Filter, 25 mm, 0.2 µm, 50/pk",,none,{},not_found
WATS-WAT200520,WAT200520,Waters,"Nylon Acrodisc Syringe Filter, 13 mm, 0.45 µm, 100/pk",,none,{},not_found
WATS-WAT200836,WAT200836,Waters,"Nylon Acrodisc Minispike Syringe Filter, 13 mm, 0.45 µm, 1000/case",,none,{},not_found
WATS-WAT200846,WAT200846,Waters,"Nylon GF, Acrodisc Syringe Filter, 25 mm, 0.45 µm, 1000/case",,none,{},not_found
WATE-176004434,176004434,Waters,"QuanRecovery with MaxPeak HPS Vial Package (186009186) with pre-slit PTFE silicone cap and septum, 100/pk",,none,{},not_found
WATE-186000268,186000268,Waters,Clear Glass 12x32mm Screw Neck Vial,,none,{},not_found
WATE-186000268C,186000268C,Waters,LCGC Certified Clear Glass 12x32mm Screw Neck Vial,,none,{},not_found
WATE-186000269,186000269,Waters,Amber Glass 12x32mm Screw Neck Vial,,none,{},not_found
WATE-186000269C,186000269C,Waters,LCGC Certified Amber Glass 12x32mm Screw Neck Vial,,none,{},not_found
WATE-186000270,186000270,Waters,Clear Glass 12x32mm Snap Neck Vial,,none,{},not_found
WATE-186000270C,186000270C,Waters,LCGC Certified Clear Glass 12x32mm Snap Neck Vial,,none,{},not_found
WATE-186000271,186000271,Waters,Amber Glass 12x32mm Snap Neck Vial,,none,{},not_found
WATE-186000271C,186000271C,Waters,LCGC Certified Amber Glass 12x32mm Snap Neck Vial,,none,{},not_found
WATE-186000272,186000272,Waters,Clear Glass 12x32mm Crimp Neck Vial,,none,{},not_found
WATE-186000272C,186000272C,Waters,LCGC Certified Clear Glass 12x32mm Crimp Neck Vial,,none,{},not_found
WATE-186000273,186000273,Waters,"Clear Glass 12 x 32 mm Screw Neck Vial, 2 mL Volume, 100/pk",,none,{},not_found
WATE-186000273C,186000273C,Waters,Blue Certified Screw Cap with PTFE/Silicone Septa,,none,{},not_found
